q_offset,i_offset,n_offset,m_offset,detectable_10.0
50.0,0.0,-0.5,-0.3999999999999999,1
50.0,0.0,-0.3999999999999999,-0.5,1
50.0,0.0,-0.3999999999999999,-0.3999999999999999,1
50.0,0.0,-0.3999999999999999,0.30000000000000004,1
50.0,0.0,-0.2999999999999998,-0.5,1
50.0,0.0,-0.2999999999999998,-0.3999999999999999,1
50.0,0.0,-0.2999999999999998,0.30000000000000004,1
50.0,0.0,-0.19999999999999973,-0.3999999999999999,1
50.0,0.0,-0.19999999999999973,0.4000000000000001,1
50.0,0.0,0.0,-0.3999999999999999,1
50.0,0.0,-0.09999999999999963,-0.3999999999999999,1
50.0,0.0,-0.09999999999999963,0.4000000000000001,1
50.0,0.0,0.0,0.4000000000000001,1
50.0,0.0,0.10000000000000007,-0.3999999999999999,1
50.0,0.0,0.20000000000000015,-0.3999999999999999,1
50.0,0.0,0.10000000000000007,0.4000000000000001,1
50.0,0.0,0.20000000000000015,0.4000000000000001,1
50.0,0.0,0.20000000000000015,0.5,1
50.0,0.0,0.3000000000000003,-0.3999999999999999,1
50.0,0.0,0.3000000000000003,0.5,1
50.0,0.0,0.3000000000000003,0.4000000000000001,1
50.0,0.0,0.4000000000000004,-0.3999999999999999,1
50.0,0.0,0.4000000000000004,0.5,1
50.0,0.10000000000000007,-0.19999999999999973,-0.3999999999999999,1
50.0,0.10000000000000007,-0.09999999999999963,-0.3999999999999999,1
50.0,0.10000000000000007,-0.09999999999999963,0.30000000000000004,1
50.0,0.10000000000000007,0.0,0.4000000000000001,1
50.0,0.10000000000000007,0.0,-0.3999999999999999,1
50.0,0.10000000000000007,0.10000000000000007,-0.3999999999999999,1
50.0,0.10000000000000007,0.10000000000000007,0.4000000000000001,1
50.0,0.10000000000000007,0.20000000000000015,-0.3999999999999999,1
50.0,0.10000000000000007,0.20000000000000015,0.4000000000000001,1
50.0,0.10000000000000007,0.3000000000000003,0.4000000000000001,1
50.0,0.10000000000000007,0.3000000000000003,-0.3999999999999999,1
50.0,0.10000000000000007,0.3000000000000003,-0.29999999999999993,1
50.0,0.10000000000000007,0.3000000000000003,0.5,1
50.0,0.10000000000000007,0.4000000000000004,-0.29999999999999993,1
50.0,0.10000000000000007,0.4000000000000004,0.5,1
50.0,0.10000000000000007,0.4000000000000004,0.4000000000000001,1
50.0,0.10000000000000007,0.5,-0.29999999999999993,1
50.0,0.10000000000000007,0.5,0.4000000000000001,1
50.0,0.10000000000000007,0.5,0.5,1
50.0,0.10000000000000007,0.6000000000000001,-0.29999999999999993,1
50.0,0.10000000000000007,0.6000000000000001,0.4000000000000001,1
50.0,0.10000000000000007,0.6000000000000001,0.5,1
50.0,0.10000000000000007,0.7000000000000002,-0.29999999999999993,1
50.0,0.10000000000000007,0.8000000000000003,-0.29999999999999993,1
50.0,0.10000000000000007,0.7000000000000002,0.5,1
50.0,0.10000000000000007,0.8000000000000003,0.5,1
50.0,0.10000000000000007,0.9000000000000004,-0.29999999999999993,1
50.0,0.10000000000000007,0.9000000000000004,0.5,1
50.0,0.10000000000000007,1.0,-0.29999999999999993,1
50.0,0.10000000000000007,1.0,0.5,1
50.0,0.20000000000000015,0.3000000000000003,0.4000000000000001,1
50.0,0.20000000000000015,0.4000000000000004,0.4000000000000001,1
50.0,0.20000000000000015,0.5,-0.29999999999999993,1
50.0,0.20000000000000015,0.5,0.4000000000000001,1
50.0,0.20000000000000015,0.5,0.5,1
50.0,0.20000000000000015,0.6000000000000001,0.4000000000000001,1
50.0,0.20000000000000015,0.6000000000000001,0.5,1
50.0,0.20000000000000015,0.7000000000000002,-0.29999999999999993,1
50.0,0.20000000000000015,0.6000000000000001,-0.29999999999999993,1
50.0,0.20000000000000015,0.7000000000000002,0.4000000000000001,1
50.0,0.20000000000000015,0.7000000000000002,0.5,1
50.0,0.20000000000000015,0.8000000000000003,-0.29999999999999993,1
50.0,0.20000000000000015,0.8000000000000003,0.4000000000000001,1
50.0,0.20000000000000015,0.8000000000000003,0.5,1
50.0,0.20000000000000015,0.9000000000000004,-0.29999999999999993,1
50.0,0.20000000000000015,0.9000000000000004,0.5,1
50.0,0.20000000000000015,1.0,-0.29999999999999993,1
50.0,0.20000000000000015,1.0,0.6000000000000001,1
50.0,0.20000000000000015,1.0,0.5,1
50.0,0.20000000000000015,1.1,0.5,1
50.0,0.20000000000000015,1.1,0.6000000000000001,1
50.0,0.20000000000000015,1.2000000000000002,0.5,1
50.0,0.20000000000000015,1.3000000000000005,0.5,1
50.0,0.20000000000000015,1.4000000000000004,0.5,1
52.0,-0.2999999999999998,-1.2999999999999998,-0.6,1
52.0,-0.2999999999999998,-1.2999999999999998,0.30000000000000004,1
52.0,-0.2999999999999998,-1.2,-0.5,1
52.0,-0.2999999999999998,-1.2,-0.6,1
52.0,-0.2999999999999998,-1.2,0.30000000000000004,1
52.0,-0.2999999999999998,-1.1,-0.5,1
52.0,-0.2999999999999998,-1.0,-0.5,1
52.0,-0.2999999999999998,-0.8999999999999999,-0.5,1
52.0,-0.2,-1.1,-0.5,1
52.0,-0.2,-1.1,-0.6,1
52.0,-0.2,-1.0,0.30000000000000004,1
52.0,-0.2,-1.0,-0.6,1
52.0,-0.2,-1.0,-0.5,1
52.0,-0.2,-0.8999999999999999,-0.6,1
52.0,-0.2,-0.8999999999999999,-0.5,1
52.0,-0.2,-0.7999999999999998,-0.5,1
52.0,-0.2,-0.7,-0.5,1
52.0,-0.2,-0.7,0.4000000000000001,1
52.0,-0.2,-0.5999999999999999,-0.5,1
52.0,-0.2,-0.5999999999999999,0.4000000000000001,1
52.0,-0.2,-0.5,-0.5,1
52.0,-0.2,-0.5,0.4000000000000001,1
52.0,-0.2,-0.3999999999999999,0.4000000000000001,1
52.0,-0.2,-0.2999999999999998,0.4000000000000001,1
52.0,-0.09999999999999988,-0.8999999999999999,-0.6,1
52.0,-0.09999999999999988,-0.7999999999999998,-0.5,1
52.0,-0.09999999999999988,-0.7999999999999998,0.30000000000000004,1
52.0,-0.09999999999999988,-0.7,-0.5,1
52.0,-0.09999999999999988,-0.5999999999999999,-0.5,1
52.0,-0.09999999999999988,-0.5,-0.5,1
52.0,-0.09999999999999988,-0.5,0.4000000000000001,1
52.0,-0.09999999999999988,-0.3999999999999999,-0.5,1
52.0,-0.09999999999999988,-0.3999999999999999,0.4000000000000001,1
52.0,-0.09999999999999988,-0.2999999999999998,-0.5,1
52.0,-0.09999999999999988,-0.2999999999999998,0.4000000000000001,1
52.0,-0.09999999999999988,-0.19999999999999973,0.4000000000000001,1
52.0,-0.09999999999999988,-0.09999999999999963,-0.3999999999999999,1
52.0,-0.09999999999999988,-0.09999999999999963,0.4000000000000001,1
52.0,-0.09999999999999988,0.0,-0.3999999999999999,1
52.0,-0.09999999999999988,0.10000000000000007,-0.3999999999999999,1
52.0,0.0,-0.5999999999999999,-0.3999999999999999,1
52.0,0.0,-0.5999999999999999,-0.5,1
52.0,0.0,-0.5,-0.5,1
52.0,0.0,-0.5,-0.3999999999999999,1
52.0,0.0,-0.3999999999999999,-0.5,1
52.0,0.0,-0.3999999999999999,-0.3999999999999999,1
52.0,0.0,-0.2999999999999998,-0.3999999999999999,1
52.0,0.0,-0.2999999999999998,-0.5,1
52.0,0.0,-0.2999999999999998,0.4000000000000001,1
52.0,0.0,-0.19999999999999973,-0.3999999999999999,1
52.0,0.0,-0.19999999999999973,-0.5,1
52.0,0.0,-0.19999999999999973,0.4000000000000001,1
52.0,0.0,-0.09999999999999963,-0.3999999999999999,1
52.0,0.0,-0.09999999999999963,0.4000000000000001,1
52.0,0.0,0.0,0.4000000000000001,1
52.0,0.0,0.0,-0.3999999999999999,1
52.0,0.0,0.10000000000000007,-0.3999999999999999,1
52.0,0.0,0.10000000000000007,0.5,1
52.0,0.0,0.10000000000000007,0.4000000000000001,1
52.0,0.0,0.20000000000000015,-0.3999999999999999,1
52.0,0.0,0.20000000000000015,0.5,1
52.0,0.0,0.20000000000000015,0.4000000000000001,1
52.0,0.0,0.3000000000000003,-0.3999999999999999,1
52.0,0.0,0.3000000000000003,0.5,1
52.0,0.0,0.4000000000000004,-0.3999999999999999,1
52.0,0.0,0.4000000000000004,0.5,1
52.0,0.0,0.5,0.5,1
52.0,0.10000000000000007,-0.2999999999999998,-0.3999999999999999,1
52.0,0.10000000000000007,-0.19999999999999973,-0.3999999999999999,1
52.0,0.10000000000000007,-0.09999999999999963,-0.3999999999999999,1
52.0,0.10000000000000007,0.0,-0.3999999999999999,1
52.0,0.10000000000000007,0.0,0.4000000000000001,1
52.0,0.10000000000000007,0.10000000000000007,0.4000000000000001,1
52.0,0.10000000000000007,0.10000000000000007,-0.3999999999999999,1
52.0,0.10000000000000007,0.20000000000000015,-0.3999999999999999,1
52.0,0.10000000000000007,0.20000000000000015,0.4000000000000001,1
52.0,0.10000000000000007,0.3000000000000003,-0.3999999999999999,1
52.0,0.10000000000000007,0.3000000000000003,0.5,1
52.0,0.10000000000000007,0.3000000000000003,0.4000000000000001,1
52.0,0.10000000000000007,0.4000000000000004,-0.3999999999999999,1
52.0,0.10000000000000007,0.4000000000000004,0.5,1
52.0,0.10000000000000007,0.4000000000000004,0.4000000000000001,1
52.0,0.10000000000000007,0.5,0.5,1
52.0,0.10000000000000007,0.6000000000000001,0.5,1
52.0,0.10000000000000007,0.7000000000000002,0.5,1
52.0,0.10000000000000007,0.8000000000000003,0.5,1
52.0,0.10000000000000007,0.9000000000000004,0.5,1
52.0,0.10000000000000007,1.0,0.5,1
52.0,0.20000000000000015,0.3000000000000003,0.4000000000000001,1
52.0,0.20000000000000015,0.4000000000000004,0.4000000000000001,1
52.0,0.20000000000000015,0.5,0.4000000000000001,1
52.0,0.20000000000000015,0.5,0.5,1
52.0,0.20000000000000015,0.6000000000000001,0.4000000000000001,1
52.0,0.20000000000000015,0.6000000000000001,-0.29999999999999993,1
52.0,0.20000000000000015,0.6000000000000001,0.5,1
52.0,0.20000000000000015,0.7000000000000002,-0.29999999999999993,1
52.0,0.20000000000000015,0.7000000000000002,0.5,1
52.0,0.20000000000000015,0.8000000000000003,-0.29999999999999993,1
52.0,0.20000000000000015,0.8000000000000003,0.5,1
52.0,0.20000000000000015,0.9000000000000004,-0.29999999999999993,1
52.0,0.20000000000000015,0.9000000000000004,0.5,1
52.0,0.20000000000000015,0.9000000000000004,0.6000000000000001,1
52.0,0.20000000000000015,1.0,0.6000000000000001,1
52.0,0.20000000000000015,1.0,0.5,1
52.0,0.20000000000000015,1.0,-0.29999999999999993,1
52.0,0.20000000000000015,1.1,0.5,1
52.0,0.20000000000000015,1.1,-0.29999999999999993,1
52.0,0.20000000000000015,1.1,0.6000000000000001,1
52.0,0.20000000000000015,1.2000000000000002,0.6000000000000001,1
52.0,0.20000000000000015,1.2000000000000002,0.5,1
54.0,-0.2999999999999998,-1.2999999999999998,-0.6,1
54.0,-0.2999999999999998,-1.2,-0.6,1
54.0,-0.2999999999999998,-1.1,-0.6,1
54.0,-0.2,-1.1,-0.6,1
54.0,-0.2,-1.0,-0.6,1
54.0,-0.2,-1.0,-0.5,1
54.0,-0.2,-0.8999999999999999,-0.5,1
54.0,-0.2,-0.8999999999999999,-0.6,1
54.0,-0.2,-0.7999999999999998,-0.5,1
54.0,-0.2,-0.7,0.4000000000000001,1
54.0,-0.2,-0.7,-0.5,1
54.0,-0.2,-0.5999999999999999,-0.5,1
54.0,-0.2,-0.5999999999999999,0.4000000000000001,1
54.0,-0.2,-0.5,-0.5,1
54.0,-0.2,-0.5,0.4000000000000001,1
54.0,-0.09999999999999988,-0.7999999999999998,-0.5,1
54.0,-0.09999999999999988,-0.7999999999999998,-0.6,1
54.0,-0.09999999999999988,-0.7,-0.5,1
54.0,-0.09999999999999988,-0.5999999999999999,-0.5,1
54.0,-0.09999999999999988,-0.5,-0.5,1
54.0,-0.09999999999999988,-0.5,0.4000000000000001,1
54.0,-0.09999999999999988,-0.3999999999999999,0.4000000000000001,1
54.0,-0.09999999999999988,-0.3999999999999999,-0.5,1
54.0,-0.09999999999999988,-0.2999999999999998,-0.5,1
54.0,-0.09999999999999988,-0.2999999999999998,0.4000000000000001,1
54.0,-0.09999999999999988,-0.19999999999999973,-0.5,1
54.0,0.0,-0.5999999999999999,-0.5,1
54.0,0.0,-0.5,-0.5,1
54.0,0.0,-0.3999999999999999,-0.5,1
54.0,0.0,-0.2999999999999998,-0.5,1
54.0,0.0,-0.19999999999999973,-0.5,1
54.0,0.0,-0.2999999999999998,0.4000000000000001,1
54.0,0.0,-0.09999999999999963,-0.5,1
54.0,0.0,-0.19999999999999973,0.4000000000000001,1
54.0,0.0,-0.09999999999999963,-0.3999999999999999,1
54.0,0.0,-0.09999999999999963,0.4000000000000001,1
54.0,0.0,0.0,-0.3999999999999999,1
54.0,0.0,0.0,0.4000000000000001,1
54.0,0.0,0.10000000000000007,-0.3999999999999999,1
54.0,0.0,0.10000000000000007,0.5,1
54.0,0.0,0.20000000000000015,-0.3999999999999999,1
54.0,0.0,0.3000000000000003,-0.3999999999999999,1
54.0,0.0,0.20000000000000015,0.5,1
54.0,0.0,0.3000000000000003,0.5,1
54.0,0.0,0.4000000000000004,-0.3999999999999999,1
54.0,0.0,0.4000000000000004,0.5,1
54.0,0.0,0.5,-0.3999999999999999,1
54.0,0.0,0.5,0.5,1
54.0,0.0,0.6000000000000001,0.5,1
54.0,0.10000000000000007,-0.2999999999999998,-0.3999999999999999,1
54.0,0.10000000000000007,-0.19999999999999973,-0.3999999999999999,1
54.0,0.10000000000000007,-0.09999999999999963,-0.3999999999999999,1
54.0,0.10000000000000007,0.0,-0.3999999999999999,1
54.0,0.10000000000000007,0.0,0.4000000000000001,1
54.0,0.10000000000000007,0.10000000000000007,-0.3999999999999999,1
54.0,0.10000000000000007,0.10000000000000007,0.4000000000000001,1
54.0,0.10000000000000007,0.20000000000000015,0.4000000000000001,1
54.0,0.10000000000000007,0.20000000000000015,-0.3999999999999999,1
54.0,0.10000000000000007,0.20000000000000015,0.5,1
54.0,0.10000000000000007,0.3000000000000003,-0.3999999999999999,1
54.0,0.10000000000000007,0.3000000000000003,0.5,1
54.0,0.10000000000000007,0.4000000000000004,-0.3999999999999999,1
54.0,0.10000000000000007,0.4000000000000004,0.5,1
54.0,0.10000000000000007,0.5,-0.3999999999999999,1
54.0,0.10000000000000007,0.5,0.5,1
54.0,0.10000000000000007,0.6000000000000001,0.5,1
54.0,0.10000000000000007,0.7000000000000002,0.5,1
54.0,0.10000000000000007,0.8000000000000003,0.5,1
54.0,0.20000000000000015,0.3000000000000003,0.4000000000000001,1
54.0,0.20000000000000015,0.4000000000000004,0.4000000000000001,1
54.0,0.20000000000000015,0.4000000000000004,0.5,1
54.0,0.20000000000000015,0.5,0.5,1
54.0,0.20000000000000015,0.6000000000000001,0.5,1
54.0,0.20000000000000015,0.7000000000000002,0.5,1
54.0,0.20000000000000015,0.8000000000000003,0.6000000000000001,1
54.0,0.20000000000000015,0.8000000000000003,0.5,1
54.0,0.20000000000000015,0.9000000000000004,0.6000000000000001,1
54.0,0.20000000000000015,0.9000000000000004,0.5,1
54.0,0.20000000000000015,1.0,0.6000000000000001,1
54.0,0.20000000000000015,1.0,0.5,1
54.0,0.20000000000000015,1.1,0.6000000000000001,1
54.0,0.20000000000000015,1.2000000000000002,0.6000000000000001,1
54.0,0.20000000000000015,1.3000000000000005,0.6000000000000001,1
56.0,-0.2999999999999998,-1.2999999999999998,-0.6,1
56.0,-0.2999999999999998,-1.2,-0.6,1
56.0,-0.2999999999999998,-1.1,-0.6,1
56.0,-0.2,-1.1,-0.6,1
56.0,-0.2,-1.0,-0.6,1
56.0,-0.2,-0.8999999999999999,-0.6,1
56.0,-0.2,-0.7999999999999998,-0.6,1
56.0,-0.2,-0.7999999999999998,0.4000000000000001,1
56.0,-0.2,-0.7,0.4000000000000001,1
56.0,-0.09999999999999988,-0.7999999999999998,-0.6,1
56.0,-0.09999999999999988,-0.7999999999999998,-0.5,1
56.0,-0.09999999999999988,-0.7,-0.5,1
56.0,-0.09999999999999988,-0.7,-0.6,1
56.0,-0.09999999999999988,-0.5999999999999999,-0.5,1
56.0,-0.09999999999999988,-0.5999999999999999,0.4000000000000001,1
56.0,-0.09999999999999988,-0.5,-0.5,1
56.0,-0.09999999999999988,-0.5,0.4000000000000001,1
56.0,-0.09999999999999988,-0.3999999999999999,-0.5,1
56.0,-0.09999999999999988,-0.2999999999999998,-0.5,1
56.0,-0.09999999999999988,-0.19999999999999973,-0.5,1
56.0,0.0,-0.5999999999999999,-0.5,1
56.0,0.0,-0.5,-0.5,1
56.0,0.0,-0.3999999999999999,-0.5,1
56.0,0.0,-0.2999999999999998,-0.5,1
56.0,0.0,-0.2999999999999998,0.4000000000000001,1
56.0,0.0,-0.19999999999999973,-0.5,1
56.0,0.0,-0.19999999999999973,0.4000000000000001,1
56.0,0.0,-0.09999999999999963,-0.5,1
56.0,0.0,0.0,-0.5,1
56.0,0.0,0.10000000000000007,0.5,1
56.0,0.0,0.0,0.5,1
56.0,0.0,0.20000000000000015,0.5,1
56.0,0.0,0.3000000000000003,0.5,1
56.0,0.0,0.4000000000000004,0.5,1
56.0,0.10000000000000007,0.0,0.4000000000000001,1
56.0,0.10000000000000007,0.10000000000000007,-0.3999999999999999,1
56.0,0.10000000000000007,0.20000000000000015,-0.3999999999999999,1
56.0,0.10000000000000007,0.20000000000000015,0.5,1
56.0,0.10000000000000007,0.3000000000000003,-0.3999999999999999,1
56.0,0.10000000000000007,0.3000000000000003,0.5,1
56.0,0.10000000000000007,0.4000000000000004,-0.3999999999999999,1
56.0,0.10000000000000007,0.4000000000000004,0.5,1
56.0,0.10000000000000007,0.5,-0.3999999999999999,1
56.0,0.10000000000000007,0.5,0.5,1
56.0,0.10000000000000007,0.6000000000000001,0.5,1
56.0,0.10000000000000007,0.6000000000000001,-0.3999999999999999,1
56.0,0.10000000000000007,0.7000000000000002,0.5,1
56.0,0.20000000000000015,0.4000000000000004,0.5,1
56.0,0.20000000000000015,0.5,0.5,1
56.0,0.20000000000000015,0.6000000000000001,0.5,1
56.0,0.20000000000000015,0.7000000000000002,0.5,1
56.0,0.20000000000000015,0.8000000000000003,0.5,1
56.0,0.20000000000000015,0.8000000000000003,0.6000000000000001,1
56.0,0.20000000000000015,0.9000000000000004,0.5,1
56.0,0.20000000000000015,0.9000000000000004,0.6000000000000001,1
56.0,0.20000000000000015,1.0,0.6000000000000001,1
56.0,0.20000000000000015,1.1,0.6000000000000001,1
56.0,0.20000000000000015,1.2000000000000002,0.6000000000000001,1
56.0,0.20000000000000015,1.3000000000000005,0.6000000000000001,1
58.0,-0.2999999999999998,-1.2999999999999998,-0.6,1
58.0,-0.2999999999999998,-1.2,-0.6,1
58.0,-0.2999999999999998,-1.1,-0.6,1
58.0,-0.2,-1.1,-0.6,1
58.0,-0.2,-1.0,-0.6,1
58.0,-0.2,-0.8999999999999999,-0.6,1
58.0,-0.2,-0.7999999999999998,-0.6,1
58.0,-0.09999999999999988,-0.7999999999999998,-0.6,1
58.0,-0.09999999999999988,-0.7,-0.6,1
58.0,-0.09999999999999988,-0.5999999999999999,-0.6,1
58.0,-0.09999999999999988,-0.5999999999999999,-0.5,1
58.0,-0.09999999999999988,-0.5,-0.5,1
58.0,-0.09999999999999988,-0.3999999999999999,-0.5,1
58.0,-0.09999999999999988,-0.2999999999999998,-0.5,1
58.0,-0.09999999999999988,-0.19999999999999973,-0.5,1
58.0,-0.09999999999999988,-0.09999999999999963,-0.5,1
58.0,-0.09999999999999988,-0.09999999999999963,0.5,1
58.0,-0.09999999999999988,0.0,0.5,1
58.0,0.0,-0.5999999999999999,-0.5,1
58.0,0.0,-0.5,-0.5,1
58.0,0.0,-0.3999999999999999,-0.5,1
58.0,0.0,-0.2999999999999998,-0.5,1
58.0,0.0,-0.19999999999999973,-0.5,1
58.0,0.0,-0.09999999999999963,-0.5,1
58.0,0.0,0.0,-0.5,1
58.0,0.0,0.0,0.5,1
58.0,0.0,0.10000000000000007,0.5,1
58.0,0.0,0.20000000000000015,0.5,1
58.0,0.10000000000000007,0.10000000000000007,0.5,1
58.0,0.10000000000000007,0.20000000000000015,0.5,1
58.0,0.10000000000000007,0.3000000000000003,0.5,1
58.0,0.10000000000000007,0.4000000000000004,0.5,1
58.0,0.10000000000000007,0.5,0.5,1
58.0,0.10000000000000007,0.7000000000000002,0.6000000000000001,1
58.0,0.20000000000000015,0.4000000000000004,0.5,1
58.0,0.20000000000000015,0.5,0.5,1
58.0,0.20000000000000015,0.6000000000000001,0.5,1
58.0,0.20000000000000015,0.7000000000000002,0.5,1
58.0,0.20000000000000015,0.7000000000000002,0.6000000000000001,1
58.0,0.20000000000000015,0.8000000000000003,0.6000000000000001,1
58.0,0.20000000000000015,0.9000000000000004,0.6000000000000001,1
58.0,0.20000000000000015,1.0,0.6000000000000001,1
58.0,0.20000000000000015,1.1,0.6000000000000001,1
58.0,0.20000000000000015,1.2000000000000002,0.6000000000000001,1
58.0,0.20000000000000015,1.3000000000000005,0.6000000000000001,1
60.0,-0.2,-1.0,-0.6,1
60.0,-0.2,-0.8999999999999999,-0.6,1
60.0,-0.2,-0.7999999999999998,-0.6,1
60.0,-0.2,-0.7,-0.6,1
60.0,-0.09999999999999988,-0.7999999999999998,-0.6,1
60.0,-0.09999999999999988,-0.7,-0.6,1
60.0,-0.09999999999999988,-0.5999999999999999,-0.6,1
60.0,-0.09999999999999988,-0.19999999999999973,0.5,1
60.0,0.0,-0.3999999999999999,-0.5,1
60.0,0.0,-0.2999999999999998,-0.5,1
60.0,0.0,-0.19999999999999973,-0.5,1
60.0,0.0,-0.09999999999999963,-0.5,1
60.0,0.0,-0.09999999999999963,0.5,1
60.0,0.0,0.0,-0.5,1
60.0,0.0,0.0,0.5,1
60.0,0.0,0.10000000000000007,-0.5,1
60.0,0.10000000000000007,0.10000000000000007,0.5,1
60.0,0.10000000000000007,0.20000000000000015,0.5,1
60.0,0.10000000000000007,0.3000000000000003,0.5,1
60.0,0.10000000000000007,0.6000000000000001,0.6000000000000001,1
60.0,0.10000000000000007,0.7000000000000002,0.6000000000000001,1
60.0,0.10000000000000007,0.8000000000000003,0.6000000000000001,1
60.0,0.10000000000000007,0.9000000000000004,0.6000000000000001,1
60.0,0.20000000000000015,0.4000000000000004,0.5,1
60.0,0.20000000000000015,0.5,0.5,1
60.0,0.20000000000000015,0.7000000000000002,0.6000000000000001,1
60.0,0.20000000000000015,0.8000000000000003,0.6000000000000001,1
60.0,0.20000000000000015,0.9000000000000004,0.6000000000000001,1
60.0,0.20000000000000015,1.0,0.6000000000000001,1
60.0,0.20000000000000015,1.1,0.6000000000000001,1
62.0,-0.2999999999999998,-1.2999999999999998,-0.7,1
62.0,-0.2,-1.1,-0.7,1
62.0,-0.2,-1.0,-0.6,1
62.0,-0.2,-0.8999999999999999,-0.6,1
62.0,-0.2,-0.7999999999999998,-0.6,1
62.0,-0.2,-0.7,-0.6,1
62.0,-0.09999999999999988,-0.7,-0.6,1
62.0,-0.09999999999999988,-0.7999999999999998,-0.6,1
62.0,-0.09999999999999988,-0.5999999999999999,-0.6,1
62.0,-0.09999999999999988,-0.5,-0.6,1
62.0,0.10000000000000007,0.10000000000000007,0.5,1
62.0,0.10000000000000007,0.5,0.6000000000000001,1
62.0,0.10000000000000007,0.6000000000000001,0.6000000000000001,1
62.0,0.10000000000000007,0.7000000000000002,0.6000000000000001,1
62.0,0.20000000000000015,0.6000000000000001,0.6000000000000001,1
62.0,0.20000000000000015,0.7000000000000002,0.6000000000000001,1
62.0,0.20000000000000015,0.8000000000000003,0.6000000000000001,1
